claim_id,chapter,section,claim_summary,claim_strength,citation_keys,preferred_source_type,actual_source_type,local_repository_claim,support_status,boundary_status,repair_action
CC-4.9B-001,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,"Intensive-care medicine produces a particularly demanding form of longitudinal data.  Electronic health records contain laboratory values, vital signs, treatments, administrative fields, and outcomes, but these quantities are neither observed on a common clock nor collected with a common purpose.  Measurements occur at nonuniform times; variables are sampled at markedly different frequencies; many values are absent at most time points; and the intensity of measurement may itself reflect clinical concern, workflow, or resource use.  The resulting records are high dimensional and heterogeneous across patients, care trajectories, and institutions.  Irregular medical time-series methods therefore face more than a standard sequence-modeling inconvenience: they must represent the timing, absence, and changing availability of observations while preserving a defensible analytical link to the question being asked .",HIGH_LEVEL,sun_2026_review_irregular_medical_timeseries;lipton_kale_wetzel_2016_missingness_rnns,MIXED_AS_APPROPRIATE,PRIMARY_METHOD;REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-002,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,"Two complementary needs follow.  First, an analysis must accommodate irregular longitudinal measurements rather than force all observations into an unqualified regular grid.  Architectures for sparse clinical series and missingness-aware recurrent models illustrate different ways to use values, time intervals, and observation patterns .  Second, the analysis needs interpretable variables that can connect a rich event stream to later questions about prognosis and adjusted mortality contrasts.  In this thesis, that intermediate layer consists of clinically inspired proxy states: rule-derived analytical constructs that summarize evidence for selected clinical patterns from available measurements.",HIGH_LEVEL,tipirneni2022strats;che2018grud,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-003,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,"This wording is deliberate.  A rule-derived proxy label is not a chart-adjudicated diagnosis, ground truth, or a validated phenotype.  A positive tag records that the project-specific source rules were satisfied for the available data; a negative tag does not establish absence of a clinical condition.  Nevertheless, a transparent proxy-state layer can make the passage from irregular measurements to a structured downstream analysis inspectable.  It supplies common targets for multi-label prediction and a documented set of proxy-state exposures for observational analyses, while retaining a visible link to the measurements and rules from which each construct was derived.  Rule-based electronic phenotyping and weak-supervision research provide useful context for this design choice, but do not validate the local proxy definitions or their clinical meaning .",HIGH_LEVEL,banda_2018_electronic_phenotyping;ratner_et_al_2020_snorkel,MIXED_AS_APPROPRIATE,PRIMARY_METHOD;REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-004,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,"Prediction and causal analysis then answer different questions.  Predicting a rule-derived proxy label asks whether an irregular-time-series model can reproduce that label from the available inputs.  Estimating an adjusted mortality contrast for a proxy-state exposure asks a separate observational question about modeled differences in outcome under explicit assumptions.  Strong performance on the first task does not establish the clinical validity of the label, causal validity of the second analysis, or actionability of the exposure.  The latter task requires a stated causal model, project-specified directed acyclic graphs (DAGs), exposure-specific adjustment logic, attention to support and overlap, sensitivity and permutation diagnostics, and traceable evidence.  Even with these elements, adjusted estimates remain conditional on the adequacy of the proxy measurement, graph, temporal ordering, observed covariates, and model specification .",HIGH_LEVEL,pearl_1995_causal_diagrams;hernan_robins_2016_target_trial;hernan_taubman_2008_well_defined_interventions,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-005,Chapter 1,Motivation: Irregular ICU Time-Series Analysis,"The framework is exercised on PhysioNet 2012 and MIMIC-III, two public ICU time-series resources that provide complementary settings for this problem .  Both contain longitudinal ICU measurements and in-hospital mortality information, yet they differ in era, scale, available variables, data contracts, measurement processes, proxy-state definitions, and project graphs.  These differences make cross-dataset evaluation useful for examining the portability of an analytical workflow, but they preclude treating similarly named constructs as automatically equivalent or pooling numerical estimates without further justification.  The thesis therefore uses the datasets to test a shared methodological sequence while preserving dataset-specific definitions and interpretation boundaries.",HIGH_LEVEL,silva2012physionet;johnson2016mimiciii,PRIMARY_DATASET,PRIMARY_DATASET,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-006,Chapter 1,Thesis Gap and Objective,"Prior work offers important components for this setting.  Irregular-time-series research provides representations and predictive methods for sparse, asynchronously observed medical data.  Electronic phenotyping and weak supervision provide strategies for constructing useful analytical labels when direct expert adjudication is unavailable.  Causal-inference research supplies DAG-based reasoning, double machine learning, heterogeneous-effect estimation, and diagnostics for observational studies .  ICU-focused reviews further emphasize the difficulty of defining an actionable question, managing confounding, and distinguishing predictive patterns from treatment-effect claims in observational clinical records .",HIGH_LEVEL,chernozhukov2018dml;wager2018causalforest;athey2019grf;smit_2023_causal_inference_icu_scoping_review;bica_2021_individualized_treatment_effects_ehr_ml,MIXED_AS_APPROPRIATE,PRIMARY_METHOD;REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-007,Chapter 2,ICU EHR Datasets and Irregular Sampling: Critical-care EHR time series,"ICU electronic health records combine physiological measurements, laboratory results, administered treatments, clinical observations, and administrative information.  These sources do not share a natural sampling clock.  Vital signs may be recorded repeatedly, laboratory tests are ordered at variable intervals, and static admission fields may appear only once.  Observation times are therefore nonuniform both within a variable and across variables, while different patients can have markedly different measurement density and duration.  Reviews of irregular medical time series distinguish irregular spacing within a sequence from heterogeneous sampling rates across variables, and emphasize that either feature complicates models built for complete, fixed-dimensional sequences .",HIGH_LEVEL,sun_2026_review_irregular_medical_timeseries,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-008,Chapter 2,ICU EHR Datasets and Irregular Sampling: Critical-care EHR time series,"Missingness in this setting is not a single phenomenon.  A value may be absent because a test was not ordered, a device was not connected, a source table did not contain the measurement, the observation fell outside the analysis window, or preprocessing rejected it.  Clinical concern and care processes can influence whether and when a variable is measured, so the observation pattern may contain predictive information .  It would nevertheless be too strong to treat every absence as informative or clinically meaningful.  Observation patterns can mix physiology, workflow, resource availability, and data-quality mechanisms; exploiting them predictively does not identify which mechanism generated them.",HIGH_LEVEL,lipton_kale_wetzel_2016_missingness_rnns;che2018grud,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-009,Chapter 2,ICU EHR Datasets and Irregular Sampling: PhysioNet/Computing in Cardiology Challenge 2012,"The PhysioNet/Computing in Cardiology Challenge 2012 was organized around patient-specific prediction of in-hospital mortality from early ICU information.  It combined admission descriptors with time-stamped vital-sign and laboratory series and provided a structured training-and-evaluation setting for mortality classifiers and risk estimators .  Its challenge format makes it a useful compact benchmark-style source: the prediction target, observation window, and evaluation setting were defined for a shared research task rather than left to every investigator to derive independently.",HIGH_LEVEL,silva2012physionet,PRIMARY_DATASET,PRIMARY_DATASET,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-010,Chapter 2,ICU EHR Datasets and Irregular Sampling: MIMIC-III and benchmark research,"MIMIC-III is a deidentified, single-center critical-care database integrating bedside observations, laboratory data, medications, procedures, coded information, notes, and outcomes over an extended data era.  It was made available to qualified researchers subject to training and a data-use agreement, enabling reproducible critical-care research while retaining controlled-access obligations .  Unlike a fixed prediction challenge, MIMIC-III is a relational clinical database from which researchers must define the study unit, cohort, variables, time windows, and outcomes.",HIGH_LEVEL,johnson2016mimiciii,PRIMARY_DATASET,PRIMARY_DATASET,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-011,Chapter 2,ICU EHR Datasets and Irregular Sampling: MIMIC-III and benchmark research,"Benchmark work on MIMIC-III illustrates how a database can be converted into standardized clinical time-series tasks and reusable baselines .  The benchmark is a particular extraction and task definition, not the database itself.  Consequently, citing the benchmark supports the value of reproducible task construction but does not imply that this thesis uses its cohorts or tasks unchanged.  Local preprocessing may draw on a benchmark style while defining different proxy-label targets and downstream analysis objects.",HIGH_LEVEL,harutyunyan_2019_mimiciii_benchmark,PRIMARY_DATASET,PRIMARY_DATASET,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-012,Chapter 2,Irregular Time-Series Representation Models: Representation challenges and design choices,"Predictive models for irregular clinical time series differ first in what they consider an input.  One family regularizes observations onto a sequence of time bins and supplies imputed values, masks, or time gaps.  Another works directly with observed events, representing measurement identity, value, and time without filling every unobserved cell.  Within these representations, temporal dependence can be modeled by recurrent state updates, temporal convolution, or attention.  These choices encode distinct assumptions about which temporal relationships should be easy to learn and how the observation process should enter the model .",HIGH_LEVEL,sun_2026_review_irregular_medical_timeseries,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-013,Chapter 2,Irregular Time-Series Representation Models: Recurrent baselines: GRU and GRU-D,"The gated recurrent unit (GRU) updates a hidden state sequentially using reset and update gates.  Conceptually, the update gate balances retention of the previous state against incorporation of a candidate state, while the reset gate controls how strongly earlier information contributes to that candidate.  This gating provides a flexible general sequence baseline with fewer gating components than a conventional long short-term memory unit .  A standard GRU can learn from a suitably prepared clinical sequence, but it does not inherently know how much time elapsed between observations or why a variable is absent.  Its handling of irregularity therefore depends on the input representation supplied to it.",HIGH_LEVEL,cho2014gru,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-014,Chapter 2,Irregular Time-Series Representation Models: Recurrent baselines: GRU and GRU-D,"GRU-D modifies recurrent modeling for multivariate series with missing values.  It uses observation masks and elapsed-time information, and learns decay mechanisms that move missing inputs toward empirical reference values and attenuate hidden states as gaps increase .  This formulation makes the missingness pattern and time since observation explicit rather than treating imputation as an invisible preprocessing step.  It is one principled response to irregular sampling, not a universal solution: learned decay imposes its own structure, the observation process may differ across sites, and predictive use of missingness does not correct causal bias from measurement decisions.",HIGH_LEVEL,che2018grud,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-015,Chapter 2,Irregular Time-Series Representation Models: Temporal convolution: TCN,"Temporal convolutional networks apply one-dimensional convolution in temporal order.  Causal convolution prevents future positions from contributing to an earlier output, dilation expands the receptive field without requiring a kernel at every lag, and residual blocks stabilize deeper models.  Because convolutions for many positions can be computed in parallel, a TCN offers a different computational and inductive bias from a recurrent state update .  The canonical TCN study is a general sequence-modeling comparison rather than an ICU-specific method paper.  In an irregular ICU setting, the model still requires an appropriate regular sequence representation, so resampling, aggregation, masks, and time features remain part of its effective design.",HIGH_LEVEL,bai2018tcn,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-016,Chapter 2,Irregular Time-Series Representation Models: Attention-based dense modeling: SAnD,"SAnD applies masked self-attention to clinical time series so that a representation at a position can combine information from other permitted positions without recurrent traversal.  Positional encoding supplies temporal order, and attention provides direct paths for modeling long-range relationships .  Its clinical formulation uses a dense or regularly represented sequence, making preprocessing part of the model interface.  It therefore differs from a sparse-event transformer even though both use attention: attention is a temporal mechanism, not a complete specification of the input representation.",HIGH_LEVEL,song2018sand,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-017,Chapter 2,Irregular Time-Series Representation Models: Sparse-event transformer modeling: STraTS,"STraTS is designed for sparse and irregular multivariate clinical series.  It treats an observed measurement as a triplet of time, variable, and value; continuous embeddings of time and value are combined with a variable embedding, and transformer-style attention contextualizes the observed events.  This avoids constructing a fully imputed variable-by-time matrix and preserves fine-grained observation times.  The method also introduces a self-supervised forecasting objective for pretraining representations before supervised prediction .",HIGH_LEVEL,tipirneni2022strats,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-018,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,STraTS & Transformer-style contextualization and attention pooling. & Sparse observed time--variable--value triplets; timing and absence are retained without a fully imputed grid; self-supervised pretraining is supported. & Sparse-event focal model with a later local multi-label adaptation. &  ,HIGH_LEVEL,tipirneni2022strats,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-019,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,GRU & Gated recurrent hidden-state updates. & Requires a prepared sequence; irregular time and missingness are not inherently resolved by the ordinary recurrent unit. & General recurrent baseline. &  ,HIGH_LEVEL,cho2014gru,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-020,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,GRU-D & Recurrent updates with trainable input and hidden-state decay. & Uses masks and elapsed-time features to model missingness explicitly. & Missingness-aware recurrent baseline. &  ,HIGH_LEVEL,che2018grud,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-021,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,"TCN & Dilated temporally ordered convolutions with residual blocks. & Operates on a regular sequence representation whose binning, masks, and aggregation must be defined. & Convolutional sequence baseline. &  ",HIGH_LEVEL,bai2018tcn,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-022,Chapter 2,Irregular Time-Series Representation Models: Relationship among the five included families,SAnD & Masked self-attention with positional encoding. & Operates on a dense clinical sequence; its input is not the same raw sparse-event representation as STraTS. & Dense attention-based baseline. &  ,HIGH_LEVEL,song2018sand,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-023,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,"Electronic phenotyping identifies patients or records with characteristics of interest from routinely collected EHR data.  Phenotypes may combine diagnosis or procedure codes, laboratory and vital measurements, medications, text, temporal criteria, deterministic rules, statistical models, or machine learning.  The field has consequently developed from manually specified rule sets toward hybrid and learned approaches, while retaining the need to validate the construct for its intended use .",HIGH_LEVEL,banda_2018_electronic_phenotyping,REVIEW_OR_SURVEY,REVIEW_OR_SURVEY,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-024,Chapter 2,Proxy Phenotyping and Weak Supervision: Electronic phenotyping and rule-derived labels,"Rule-based phenotypes remain attractive when transparency and inspectability matter.  An investigator can trace a positive label to named variables, thresholds, and time conditions; the same rule can be rerun; and domain reviewers can identify implausible clauses.  A rule can also provide a practical label when manual adjudication is unavailable.  Concrete respiratory-failure phenotyping work illustrates how operational cohort definitions can be constructed from EHR evidence while requiring validation against the intended clinical concept .",HIGH_LEVEL,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,APPLICATION_EXAMPLE,APPLICATION_EXAMPLE,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-025,Chapter 2,Proxy Phenotyping and Weak Supervision: Clinical-definition sources and approximation,"Clinical consensus documents provide important conceptual grounding for organ dysfunction and acute syndromes, but their definitions are usually multicomponent and context dependent.  Sepsis-3 links sepsis to infection-associated organ dysfunction and gives specific clinical operationalizations; KDIGO defines acute kidney injury using creatinine and urine-output changes; and the ISTH work proposes clinical and laboratory scoring for disseminated intravascular coagulation .  SOFA and the Berlin ARDS definition likewise supply authoritative terminology for organ dysfunction and respiratory syndromes .",HIGH_LEVEL,singer_2016_sepsis3;kdigo_2012_acute_kidney_injury;taylor_et_al_2001_isth_dic;vincent_et_al_1996_sofa;ranieri_et_al_2012_berlin_ards,PRIMARY_CLINICAL_DEFINITION,PRIMARY_CLINICAL_DEFINITION,NO,MISSING_PDF_LIMITED_USE,HIGH_LEVEL_CONCEPT_ONLY,Retain high-level terminology only; no detailed criteria or threshold attribution.
CC-4.9B-026,Chapter 2,Proxy Phenotyping and Weak Supervision: Weak supervision and label aggregation,"Weak supervision addresses settings in which accurate hand labels are scarce but multiple imperfect labeling sources are available.  Labeling functions can encode heuristics, distant supervision, or model outputs, and may differ in coverage and accuracy.  Snorkel formalizes the problem by learning a generative label model that estimates source accuracies and dependencies without requiring every training example to be manually labeled .  The central lesson for this thesis is that label-source quality and correlation matter: adding sources does not guarantee that shared bias cancels.",HIGH_LEVEL,ratner_et_al_2020_snorkel,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
CC-4.9B-027,Chapter 2,"Causal Diagrams, Identification, HTE, Overlap, and Sensitivity: Observational causal questions and target-trial thinking","Causal analysis begins with a question, not an estimator.  Target-trial thinking makes the desired comparison explicit by specifying eligibility, treatment or exposure strategies, assignment, time zero, follow-up, outcome, causal contrast, and analysis plan before observational data are analyzed .  This discipline exposes mismatches such as using post-baseline information to define eligibility, comparing prevalent with incident exposure, or allowing eligibility and follow-up to begin at different times.  ICU EHR data make these issues acute because clinical state, treatment, measurement, and selection evolve rapidly and are documented through care processes.",HIGH_LEVEL,hernan_robins_2016_target_trial,PRIMARY_METHOD,PRIMARY_METHOD,NO,SUPPORTED,CANONICAL_SCOPE,None.
