component_id,English claim,Hebrew claim,numbers,estimator role,qualification,equivalent,repair
AE01_OBJECTIVE,"Build and evaluate an evidence-tracked framework from irregular ICU measurements to clinically inspired proxy states and DAG-guided adjusted mortality analysis.","בניית מסגרת מתועדת-ראיות המקשרת מדידות טיפול נמרץ לא סדירות למצבי פרוקסי ולהערכות מתוקננות מונחות DAG של תמותה.",NONE,NOT_APPLICABLE,"Methodological integration; not clinical validation, treatment advice, or deployment.",YES,NONE
AE02_DATASETS,"Evaluate the workflow separately in MIMIC-III and PhysioNet 2012.","הערכת תהליך העבודה בנפרד ב-MIMIC-III וב-PhysioNet 2012.","2 datasets",NOT_APPLICABLE,"Dataset-specific analyses; no pooling.",YES,NONE
AE03_WORKFLOW,"Preprocessing, rule labels, prediction, normalization/aggregation, project-specified DAGs, matching, heterogeneous-effect estimation, and diagnostics form the linked workflow.","קדם-עיבוד, תוויות מבוססות כללים, חיזוי, נרמול/איגום, DAGs שהוגדרו בפרויקט, התאמה, אומדן השפעה הטרוגני ואבחונים מרכיבים תהליך מקושר.",NONE,"CausalForestDML primary; LinearDML secondary; CausalPFN exploratory","Interfaces are analytical and evidence-tracked.",YES,NONE
AE04_FIVE_FAMILIES,"Compare five predictive model families across the datasets.","השוואת חמש משפחות מודלים חיזויים בשני מסדי הנתונים.","5 model families",STraTS; GRU; GRU-D; TCN; SAnD,"Performance is against rule-derived labels.",YES,NONE
AE05_PROXY_BOUNDARY,"Proxy states are clinically inspired, rule-derived analytical constructs rather than validated diagnoses or ground truth.","מצבי הפרוקסי הם מבנים אנליטיים בהשראה קלינית הנגזרים מכללים ואינם אבחנות מתוקפות או אמת מידה.",NONE,NOT_APPLICABLE,"Positive/negative tags do not establish diagnosis or absence.",YES,NONE
AE06_DAG_BOUNDARY,"Dataset-specific DAGs are project specified, not learned from data and not clinically validated.","ה-DAGs הייעודיים למסד נתונים הוגדרו בפרויקט, לא נלמדו מן הנתונים ולא עברו תיקוף קליני.",NONE,DAG-guided adjustment,"Graphs encode assumptions rather than proven causal structure.",YES,NONE
AE07_PRIMARY_MIMIC,"Primary CausalForestDML estimates are positive for every MIMIC-III exposure.","הערכות CausalForestDML הראשיות חיוביות בכל חשיפות MIMIC-III.",9/9,CausalForestDML primary,"Model-estimated observational contrasts under stated assumptions.",YES,NONE
AE08_PRIMARY_PHYSIONET,"Primary CausalForestDML estimates are positive for all but the PhysioNet shock exposure.","הערכות CausalForestDML הראשיות חיוביות בכל חשיפות PhysioNet למעט חשיפת ההלם.",9/10,CausalForestDML primary,"Negative shock is retained visibly; it is not called protective.",YES,NONE
AE09_NEGATIVE_SHOCK,"PhysioNet shock is the sole negative primary estimate.","הלם ב-PhysioNet הוא ההערכה הראשית השלילית היחידה.","1 of 10 negative",CausalForestDML primary,"Negative estimate does not imply a protective intervention.",YES,NONE
AE10_DML_AGREEMENT,"CausalForestDML and LinearDML agree in direction for every original-cohort dataset-exposure comparison.","CausalForestDML ו-LinearDML מסכימים בכיוון בכל השוואות מסד-נתונים--חשיפה במדגמים המקוריים.",19/19,"CausalForestDML primary; LinearDML secondary comparator","Direction agreement is not estimator equivalence or causal validation.",YES,NONE
AE11_ALL_THREE_AGREEMENT,"All three estimators agree in direction except for PhysioNet shock.","שלושת האומדים מסכימים בכיוון בכל ההשוואות למעט הלם ב-PhysioNet.",18/19,"CausalPFN remains exploratory","The disagreement is explicit and agreement does not establish correctness.",YES,NONE
AE12_CAUSALPFN_ROLE,"CausalPFN is an exploratory complementary estimator with incomplete diagnostic support relative to DML estimators.","CausalPFN הוא אומד משלים חקרני שתמיכת האבחונים בו חלקית ביחס לאומדי DML.",NONE,CausalPFN exploratory,"Not promoted to a primary or equivalent estimator.",YES,NONE
AE13_MATCHING_ROLE,"Matching supplies descriptive empirical support with successes, weak cases, and failures.","התאמה מספקת תמיכה אמפירית תיאורית הכוללת הצלחות, מקרים חלשים וכישלונות.",NONE,Matching descriptive baseline,"Matched differences are not automatically treatment effects.",YES,NONE
AE14_NO_POOLING,"The datasets are evaluated separately and no numerical estimate is pooled across them.","מסדי הנתונים מוערכים בנפרד ולא מבוצע איגום מספרי של ההערכות ביניהם.",NONE,ALL,"Cross-dataset comparison remains qualitative/directional.",YES,NONE
AE15_CONTRIBUTION,"The contribution is integration, shared interfaces, empirical comparison, and evidence tracking rather than invention of component methods.","התרומה היא אינטגרציה, ממשקים משותפים, השוואה אמפירית ומעקב ראיות ולא המצאת שיטות הרכיב.",NONE,ALL,"Evidence infrastructure is not equated with full reproducibility.",YES,NONE
AE16_CAUSAL_LIMITS,"Observational estimates depend on proxy definitions, graph assumptions, overlap, model specification, intervention meaning, and unmeasured confounding.","ההערכות התצפיתיות תלויות בהגדרות הפרוקסי, הנחות הגרף, חפיפה, מפרט המודל, משמעות ההתערבות וערבול בלתי נמדד.",NONE,ALL,"No unconditional causal effect, global positivity, or exchangeability is claimed.",YES,NONE
AE17_CLINICAL_DEPLOYMENT_LIMITS,"The work does not establish clinical validity, actionability, treatment recommendations, or deployment readiness.","העבודה אינה מבססת תוקף קליני, ישימות קלינית, המלצות טיפול או מוכנות להטמעה.",NONE,NOT_APPLICABLE,"Prospective and clinician validation remain required.",YES,NONE
AE18_REPRODUCIBILITY_BOUNDARY,"Checked artifacts support numerical traceability but do not establish clean-checkout computational reproducibility.","התוצרים הבדוקים תומכים בעקיבות מספרית אך אינם מבססים שחזור חישובי מלא מסביבת קוד נקייה.",NONE,NOT_APPLICABLE,"Historical producing settings and export lineage remain incomplete.",YES,NONE
AE19_FUTURE_NEEDS,"Future work requires clinical review, stronger causal design/diagnostics, provenance completion, and prospective evaluation.","עבודה עתידית דורשת סקירה קלינית, תכנון ואבחון סיבתי חזקים יותר, השלמת המקוריות והערכה פרוספקטיבית.",NONE,NOT_APPLICABLE,"Future needs are requirements, not completed achievements.",YES,NONE
AE20_FORMAL_CHECKS,"Each abstract is under 500 words, contains no citation or footnote, and introduces no extra claim.","כל תקציר קצר מ-500 מילים, ללא ציטוט או הערת שוליים וללא טענה נוספת.","English 347 tokens; Hebrew 302 tokens under the same source-text tokenizer",NOT_APPLICABLE,"Rendered Hebrew/Latin direction was inspected and is intact.",YES,NONE
