audit_id,citation_key,use_count,bibliography_entry_count,catalog_entry_count,corpus_tier,pdf_status,used_in_files,claim_alignment,citation_placement,optional_or_excluded,malformed_key,duplicate_work_status,status,required_action,notes
K001,athey2019grf,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K002,bai2018tcn,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K003,banda_2018_electronic_phenotyping,6,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K004,bica_2021_individualized_treatment_effects_ehr_ml,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K005,che2018grud,7,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K006,chernozhukov2018dml,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K007,chernozhukov_et_al_2026_ovb_causal_ml,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K008,cho2014gru,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K009,cinelli_hazlett_2020_sensitivity,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K010,crump_et_al_2009_limited_overlap,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K011,curth_2024_ml_individualized_treatment_effects,3,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K012,essay_mosier_subbian_2020_acute_respiratory_failure_phenotyping,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K013,harutyunyan_2019_mimiciii_benchmark,2,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/04_data_preprocessing.tex,DATASET_OR_BENCHMARK_CONTEXT_ONLY,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K014,hernan_robins_2016_target_trial,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/03_problem_definition_study_design.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K015,hernan_taubman_2008_well_defined_interventions,5,1,1,core,downloaded,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/03_problem_definition_study_design.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K016,iwashyna_2015_hte_critical_care,3,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K017,johnson2016mimiciii,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/04_data_preprocessing.tex,DATASET_OR_BENCHMARK_CONTEXT_ONLY,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K018,kdigo_2012_acute_kidney_injury,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex,CLINICAL_CONCEPT_ONLY_NOT_LOCAL_RULE_VALIDATION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K019,lipkovich_2024_modern_hte_methods,3,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K020,lipton_kale_wetzel_2016_missingness_rnns,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K021,oprescu_et_al_2019_econml,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K022,pearl_1995_causal_diagrams,5,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/03_problem_definition_study_design.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K023,ranieri_et_al_2012_berlin_ards,3,1,1,core,missing,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex,CLINICAL_CONCEPT_ONLY_NOT_LOCAL_RULE_VALIDATION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS_WITH_NON_BLOCKING_METADATA_WARNING,RETAIN_DOCUMENTED_WARNING,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K024,ratner_et_al_2020_snorkel,4,1,1,core,downloaded,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K025,sharma_kiciman_2020_dowhy,2,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K026,silva2012physionet,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/04_data_preprocessing.tex,DATASET_OR_BENCHMARK_CONTEXT_ONLY,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K027,singer_2016_sepsis3,7,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex,CLINICAL_CONCEPT_ONLY_NOT_LOCAL_RULE_VALIDATION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K028,smit_2023_causal_inference_icu_scoping_review,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K029,song2018sand,4,1,1,core,present,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K030,sun_2026_review_irregular_medical_timeseries,4,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K031,taylor_et_al_2001_isth_dic,3,1,1,core,downloaded,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex,CLINICAL_CONCEPT_ONLY_NOT_LOCAL_RULE_VALIDATION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K032,tipirneni2022strats,7,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/06_predictive_modeling.tex;thesis-writing/thesis/chapters/11_discussion.tex,METHOD_OR_LITERATURE_SYNTHESIS_NOT_LOCAL_EXECUTION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K033,vincent_et_al_1996_sofa,8,1,1,core,missing,thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/05_proxy_state_construction.tex,CLINICAL_CONCEPT_ONLY_NOT_LOCAL_RULE_VALIDATION,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS_WITH_NON_BLOCKING_METADATA_WARNING,RETAIN_DOCUMENTED_WARNING,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
K034,wager2018causalforest,3,1,1,core,present,thesis-writing/thesis/chapters/01_introduction.tex;thesis-writing/thesis/chapters/02_background_related_work.tex;thesis-writing/thesis/chapters/07_causal_methodology.tex,METHOD_ASSUMPTION_OR_LIMITATION_NOT_LOCAL_RESULT,ATTACHED_TO_SUPPORTING_SENTENCE_OR_CLAUSE,NO,NO,NO_DUPLICATE_TITLE_OR_DOI,PASS,NONE,"Approved corpus source; citation does not validate project-specific execution, proxy rules, DAGs, or estimates."
S001,__KEY_INTEGRITY__,133,40,40,34 USED CORE KEYS,2 DOCUMENTED MISSING PDFS,all reader-facing TeX,91 commands; 133 uses; 34 unique; zero undefined or duplicate keys,PROGRAMMATIC_AND_CONTEXT_REVIEW,NO,NO,NO_DUPLICATE_KEYS,PASS,NONE,Every used key occurs exactly once in both canonical files.
S002,__DUPLICATE_WORK__,0,0,0,ALL CITED,NOT_APPLICABLE,canonical corpus,duplicate DOI/title audit,NOT_APPLICABLE,NO,NO,ZERO_DUPLICATE_NONEMPTY_DOI_OR_TITLE,PASS,NONE,No unintentionally duplicated cited work.
S003,__CORPUS_POLICY__,0,0,0,CORE ONLY,NOT_APPLICABLE,all reader-facing TeX,optional/excluded-source policy,NOT_APPLICABLE,NO,NO,NOT_APPLICABLE,PASS,NONE,Zero optional or excluded sources cited; InterpNet remains excluded.
S004,__UNCITED_FACTUAL_CLAIMS__,0,0,0,APPROVED CORPUS ONLY,NOT_APPLICABLE,all reader-facing TeX,uncited factual-claim review,CONTEXT_REVIEWED,NO,NO,NOT_APPLICABLE,PASS,NONE,No unresolved factual literature claim remains unbounded; no source was invented or added.
S005,__KEY_EXPOSURE__,0,0,0,ALL USED KEYS,NOT_APPLICABLE,rendered-reader prose scan,bibliography-key exposure review,PROGRAMMATIC_READER_TEXT_SCAN,NO,NO,NOT_APPLICABLE,PASS,NONE,No raw bibliography key appears as reader-facing prose.
S006,__PLACEMENT__,91,0,0,ALL USED KEYS,NOT_APPLICABLE,all cited sentences/paragraphs,claim-to-citation and placement review,ATTACHED_OR_SHARED_CLAUSE_JUSTIFIED,NO,NO,NOT_APPLICABLE,PASS,NONE,No stranded citation requiring repair was found.
