physical_page,printed_page,chapter_or_region,dpi_reviewed,page_specific_content,clipping,overlap,left_margin_intrusion,right_margin_intrusion,top_margin_intrusion,bottom_margin_intrusion,table_readability,caption_attachment,figure_layout,heading_layout,paragraph_spacing,rtl_ltr_quality,unintended_blank_page,warning_ids_on_page,required_action,page_specific_notes
1,unprinted/front matter,Abstract,300,Abstract: ‫‪i‬‬ [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-01; OVERFULL-02,NONE,Individually rendered and inspected at 300 DPI. Abstract: ‫‪i‬‬ [Hebrew/RTL] Warning localization: OVERFULL-01; OVERFULL-02.
2,ii,Abstract,300,Abstract: Abstract [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-03,NONE,Individually rendered and inspected at 300 DPI. Abstract: Abstract [prose/list] Warning localization: OVERFULL-03.
3,iii,Keywords,300,Keywords: Keywords [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Keywords: Keywords [Hebrew/RTL] Warning localization: None.
4,iv,Table of contents,300,Table of contents: Contents [Hebrew/RTL],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Table of contents: Contents [Hebrew/RTL] Warning localization: None.
5,v,Front matter or transition,300,"Front matter or transition: 2.4 Causal Diagrams, Identification, HTE, Overlap, and Sensitivity . . . . . . . . . 15 [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: 2.4 Causal Diagrams, Identification, HTE, Overlap, and Sensitivity . . . . . . . . . 15 [prose/list] Warning localization: None."
6,vi,Front matter or transition,300,Front matter or transition: 9 Experimental Design 60 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 9 Experimental Design 60 [prose/list] Warning localization: None.
7,vii,Bibliography,300,Bibliography: 12.4 Future Work . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 91 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Bibliography: 12.4 Future Work . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 91 [prose/list] Warning localization: None.
8,viii,Abbreviations,300,Abbreviations: Abbreviations [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Abbreviations: Abbreviations [prose/list] Warning localization: None.
9,ix,Notation and symbols,300,Notation and symbols: Notation and Symbols [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Notation and symbols: Notation and Symbols [prose/list] Warning localization: None.
10,x,List of figures,300,List of figures: x [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. List of figures: x [prose/list] Warning localization: None.
11,xi,List of tables,300,List of tables: xi [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. List of tables: xi [prose/list] Warning localization: None.
12,xii,Front matter or transition,300,Front matter or transition: xii [equation/notation],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-04,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: xii [equation/notation] Warning localization: OVERFULL-04.
13,1,Chapter 1,300,Chapter 1: Chapter 1 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 1: Chapter 1 [prose/list] Warning localization: None.
14,2,Front matter or transition,300,"Front matter or transition: a predictive representation, but it does not by itself remove the interpretive consequences of the [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: a predictive representation, but it does not by itself remove the interpretive consequences of the [prose/list] Warning localization: None."
15,3,Front matter or transition,300,Front matter or transition: uses the datasets to test a shared methodological sequence while preserving dataset-specific [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: uses the datasets to test a shared methodological sequence while preserving dataset-specific [prose/list] Warning localization: None.
16,4,Front matter or transition,300,Front matter or transition: tion; project-specified DAGs; exposure-specific adjustment; matching and heterogeneous-effect [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: tion; project-specified DAGs; exposure-specific adjustment; matching and heterogeneous-effect [prose/list] Warning localization: None.
17,5,Front matter or transition,300,Front matter or transition: How can irregular ICU time-series data be converted into clinically interpretable [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: How can irregular ICU time-series data be converted into clinically interpretable [prose/list] Warning localization: None.
18,6,Front matter or transition,300,Front matter or transition: The empirical contribution is a checked comparison of four learned prediction models across [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: The empirical contribution is a checked comparison of four learned prediction models across [table] Warning localization: None.
19,7,Chapter 2,300,Chapter 2: The completed empirical record provides a concise orientation for the chapters that fol- [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 2: The completed empirical record provides a concise orientation for the chapters that fol- [prose/list] Warning localization: None.
20,8,Chapter 2,300,Chapter 2: Chapter 2 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 2: Chapter 2 [prose/list] Warning localization: None.
21,9,Chapter 4,300,"Chapter 4: pattern may contain predictive information [2, 4]. It would nevertheless be too strong to treat [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Chapter 4: pattern may contain predictive information [2, 4]. It would nevertheless be too strong to treat [prose/list] Warning localization: None."
22,10,Front matter or transition,300,Front matter or transition: an extended data era. It was made available to qualified researchers subject to training and [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: an extended data era. It was made available to qualified researchers subject to training and [table] Warning localization: None.
23,11,Front matter or transition,300,Front matter or transition: 2.2 Irregular Time-Series Representation Models [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 2.2 Irregular Time-Series Representation Models [prose/list] Warning localization: None.
24,12,Chapter 6,300,Chapter 6: 2.2.3 Temporal convolution: TCN [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 6: 2.2.3 Temporal convolution: TCN [table] Warning localization: None.
26,14,Front matter or transition,300,Front matter or transition: Transparency is not equivalence to clinical truth. Thresholds can be sensitive to units and [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Transparency is not equivalence to clinical truth. Thresholds can be sensitive to units and [prose/list] Warning localization: None.
27,15,Front matter or transition,300,Front matter or transition: clinical consensus; correlated voters trained on the same rule-derived labels can preserve or [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: clinical consensus; correlated voters trained on the same rule-derived labels can preserve or [prose/list] Warning localization: None.
28,16,Chapter 7,300,Chapter 7: The exposure must also correspond to a suﬀiciently well-defined intervention or contrast. [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 7: The exposure must also correspond to a suﬀiciently well-defined intervention or contrast. [prose/list] Warning localization: None.
29,17,Front matter or transition,300,Front matter or transition: rotates training and evaluation folds so observations can contribute eﬀiciently without using the [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: rotates training and evaluation folds so observations can contribute eﬀiciently without using the [prose/list] Warning localization: None.
30,18,Front matter or transition,300,"Front matter or transition: Critical-care populations add marked variation in baseline risk, disease mechanisms, and com- [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: Critical-care populations add marked variation in baseline risk, disease mechanisms, and com- [prose/list] Warning localization: None."
31,19,Front matter or transition,300,Front matter or transition: specified departures from an identifying assumption. [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: specified departures from an identifying assumption. [prose/list] Warning localization: None.
32,20,Chapter 3,300,Chapter 3: Chapter 3 [equation/notation],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 3: Chapter 3 [equation/notation] Warning localization: None.
33,21,Front matter or transition,300,Front matter or transition: distinct split-aware artifact and must not be conflated with this causal contract. [equation/notation],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: distinct split-aware artifact and must not be conflated with this causal contract. [equation/notation] Warning localization: None.
34,22,Chapter 1,300,Chapter 1: included LLM-assisted clinical and causal elicitation and were then encoded in source code; [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 1: included LLM-assisted clinical and causal elicitation and were then encoded in source code; [prose/list] Warning localization: None.
35,23,Chapter 4,300,Chapter 4: Chapter 4 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 4: Chapter 4 [prose/list] Warning localization: None.
36,24,Front matter or transition,300,"Front matter or transition: it transforms raw ICU events into stay-level time-series examples suitable for prediction, while [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: it transforms raw ICU events into stay-level time-series examples suitable for prediction, while [prose/list] Warning localization: None."
37,25,Front matter or transition,300,Front matter or transition: uses all non-ts_id columns in the latent CSV as proxy-label targets. The mortality column [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: uses all non-ts_id columns in the latent CSV as proxy-label targets. The mortality column [table] Warning localization: None.
38,26,Chapter 5,300,Chapter 5: Chapter 5 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 5: Chapter 5 [prose/list] Warning localization: None.
39,27,Front matter or transition,300,"Front matter or transition: umn names when identifying artifacts, configuration fields, prediction targets, and downstream [prose/list]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-05; OVERFULL-06,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: umn names when identifying artifacts, configuration fields, prediction targets, and downstream [prose/list] Warning localization: OVERFULL-05; OVERFULL-06."
40,28,Front matter or transition,300,Front matter or transition: Table 5.1: Prompt and document artifacts used as design provenance for proxy-state and DAG [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Table 5.1: Prompt and document artifacts used as design provenance for proxy-state and DAG [table] Warning localization: None.
41,29,Front matter or transition,300,Front matter or transition: 5.2 PhysioNet Proxy-State Rules [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,OVERFULL-07; OVERFULL-08; OVERFULL-09; OVERFULL-10; OVERFULL-11,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: 5.2 PhysioNet Proxy-State Rules [table] Warning localization: OVERFULL-07; OVERFULL-08; OVERFULL-09; OVERFULL-10; OVERFULL-11.
42,30,Front matter or transition,300,Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list] Warning localization: None.
43,31,Front matter or transition,300,Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [table] Warning localization: None.
44,32,Front matter or transition,300,"Front matter or transition: The MIMIC archive header matches this set. Compared with PhysioNet, MIMIC uses a chronic- [table]",NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: The MIMIC archive header matches this set. Compared with PhysioNet, MIMIC uses a chronic- [table] Warning localization: None."
45,33,Front matter or transition,300,Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list] Warning localization: None.
46,34,Chapter 6,300,Chapter 6: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-12,NONE,Individually rendered and inspected at 300 DPI. Chapter 6: Proxy-state column Construct repre- Input measurements and ag- Rule structure or threshold fam- Grounding [prose/list] Warning localization: OVERFULL-12.
47,35,Front matter or transition,300,"Front matter or transition: The active majority-vote script discovers non-hidden .csv files in the input voter directory, [equation/notation]",NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,"Individually rendered and inspected at 300 DPI. Front matter or transition: The active majority-vote script discovers non-hidden .csv files in the input voter directory, [equation/notation] Warning localization: None."
48,36,Chapter 6,300,Chapter 6: Chapter 6 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 6: Chapter 6 [prose/list] Warning localization: None.
49,37,Front matter or transition,300,Front matter or transition: test identifiers before constructing unsupervised examples. It builds the variable vocabulary [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: test identifiers before constructing unsupervised examples. It builds the variable vocabulary [prose/list] Warning localization: None.
50,38,Front matter or transition,300,Front matter or transition: All supervised backends share a multi-label output contract. During training the model [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: All supervised backends share a multi-label output contract. During training the model [prose/list] Warning localization: None.
51,39,Front matter or transition,300,Front matter or transition: Table 6.1: Implemented predictive model families and non- [table],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Table 6.1: Implemented predictive model families and non- [table] Warning localization: None.
52,40,Front matter or transition,300,Front matter or transition: maximum value of the pointwise minimum of precision and recall. The reported split-level [table ; equation/notation],NO,NO,NO,NO,NO,NO,PASS,PASS,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: maximum value of the pointwise minimum of precision and recall. The reported split-level [table ; equation/notation] Warning localization: None.
53,41,Chapter 5,300,Chapter 5: The combined prediction CSV is not the same file shape required by downstream voter [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Chapter 5: The combined prediction CSV is not the same file shape required by downstream voter [prose/list] Warning localization: None.
54,42,Chapter 7,300,Chapter 7: Chapter 7 [prose/list],NO,NO,NO,NO,NO,NO,N/A,N/A,N/A,PASS,PASS,PASS,NO,OVERFULL-13,NONE,Individually rendered and inspected at 300 DPI. Chapter 7: Chapter 7 [prose/list] Warning localization: OVERFULL-13.
55,43,Front matter or transition,300,Front matter or transition: Figure 7.1: Project-specified PhysioNet 2012 DAG used by the causal pipeline. The figure is a [figure],NO,NO,NO,NO,NO,NO,N/A,PASS,PASS,PASS,PASS,PASS,NO,None,NONE,Individually rendered and inspected at 300 DPI. Front matter or transition: Figure 7.1: Project-specified PhysioNet 2012 DAG used by the causal pipeline. The figure is a [figure] Warning localization: None.
