warning_id,source_file,source_line_start,source_line_end,overflow_pt,content_context,pdf_page,visible_margin_intrusion,visible_clipping,visible_overlap,root_cause,classification,repair_required,repair_applied,post_repair_result,notes
OVERFULL-01,thesis-writing/thesis/frontmatter/abstract_secondary.tex,9,10,49.17816,"בסיכומי CausalForestDML הראשיים בעוקבה המקורית, כל תשעת סיכומי מצבי הפרוקסי של MIMIC-III היו חיוביים; תשעה מתוך עשרת הסיכומים של PhysioNet היו חיוביים, וסיכום ההלם היה שלילי. CausalForestDML ו-LinearDML הסכימו בכיוון בכל 19 השוואות מערך-הנתונים--חשיפה. שלושת האומדים הסכימו בכיוון ב-18 מתוך 19 ההשוואות; CausalPFN נשמר כאומד חקרני בלבד משום שמקורו המתודולוגי הראשי ותמיכה אבחונית מקבילה עדיין אינם פתורים. התאמה מספקת הפרשי תוצא תיאוריים בזוגות תואמים, ולא אישוש של השפעת התערבות. התוצאות מדווחות בנפרד לכל מערך נתונים ואינן מאוגמות.",1,NO,NO,NO,Bidirectional Hebrew/Latin shaping and unbreakable embedded Latin tokens.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 1); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-02,thesis-writing/thesis/frontmatter/abstract_secondary.tex,11,51,1.76187,"התרומה היא מסגרת שקופה לבחינת המעבר של מבנים שמקורם בכללים, ממדידות לא סדירות דרך חיזוי ועד לניתוח תצפיתי, בצד ארטיפקטים מספריים בדוקים וגבולות פרובננס מפורשים. האומדנים מותנים במדידת הפרוקסי, בגרף, בסדר הזמנים, בהתאמה, בחפיפה, במודל ובהנחות על מערפלים לא נמדדים. העבודה אינה קובעת שמצב פרוקסי גרם לתמותה, ששינוי שלו ישנה תוצאה, או שהמסגרת תקפה קלינית או מוכנה לשימוש. רשומות הראיות הזמינות משפרות עקיבות מספרית אך אינן קובעות שחזור חישובי מ-clean checkout; דרושים עדיין סקירה קלינית, תכנונים תצפיתיים חזקים יותר, תיקוף חיצוני ופרובננס מלא. hebrew",1,NO,NO,NO,Bidirectional Hebrew/Latin shaping and unbreakable embedded Latin tokens.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 1); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-03,thesis-writing/thesis/frontmatter/abstract_primary.tex,4,5,0.41788,"Irregular intensive-care-unit (ICU) records contain measurements observed at nonuniform times, with variable availability and missingness that can carry information about care processes as well as patient state. This thesis constructs and evaluates an evidence-tracked framework that connects irregular ICU measurements to clinically inspired proxy-state representations and, under explicit observational assumptions, to DAG-guided adjusted analyses of in-hospital mortality. The aim is methodological integration with traceable analytical handoffs, not clinical validation, treatment recommendation, or deployment.",2,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 2); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-04,thesis-writing/thesis/frontmatter/nomenclature.tex,46,46,2.32605,Longtable repeated-header boundary following the Symbol and Meaning in this thesis header.,12,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 12); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-05,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,33,44,9.29594,"tabular{@{}p{0.20 }p{0.12 }p{0.25 }p{0.15 }p{0.20 }@{}} Artifact Dataset Role Version status Thesis relation Generic prompt template Generic Template for staged ontology, rule, missingness, and DAG elicitation. Final template Prompt-engineering provenance only. PhysioNet prompt and run export PhysioNet Dataset-specific prompt and exported ChatGPT run. Final run Candidate design proposal; not implementation authority. MIMIC prompt and run export MIMIC-III Dataset-specific prompt and exported ChatGPT run. Final run Candidate design proposal; not implementation authority. Earlier prompt-result exports Both Earlier prompt outputs. Superseded Historical design trace only. Manager-summary documents Project Management summaries of proxy/DAG and clinical CATE review concepts. Review documents Human/project review context; not source execution. tabular table",39,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 39); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-06,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,51,60,11.81364,tabular{@{}p{0.20 }p{0.31 }p{0.34 }p{0.10 }@{}} Source type Generation mechanism Interpretation boundary Primary evidence Rule-derived proxy state Deterministic clinical rules applied to summary features or helper flags. Transparent weak label; not a verified diagnosis or formal score unless the full score is implemented. Active tagger source and rule artifacts. Predicted proxy state Time-series model probability thresholded at 0.5 for each target column. Model estimate of a rule-derived proxy label; not a direct clinical measurement. STraTS export source and prediction CSV schema. Majority-vote proxy state Deterministic vote across binary voter CSVs aligned on shared ts\ id. Aggregated binary proxy; not clinical consensus and not a probabilistic label model. Majority-vote source and causal run summaries. tabular table,39,NO,NO,NO,TeX line-breaking diagnostic for a locally unbreakable text run.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 39); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-07,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,82,82,16.77446,"\[ gathered LAT\ CHRONIC\ BASELINE\ RISK,\ LAT\ GLOBAL\ SEVERITY,\ LAT\ SHOCK,\ LAT\ RESPIRATORY\ FAILURE, LAT\ RENAL\ DYSFUNCTION,\ LAT\ HEPATIC\ DYSFUNCTION,\ LAT\ COAG\ HEME\ DYSFUNCTION, LAT\ INFLAMMATION\ SEPSIS\ BURDEN,\ LAT\ NEUROLOGIC\ DYSFUNCTION, LAT\ CARDIAC\ INJURY\ STRAIN,\ LAT\ METABOLIC\ DERANGEMENT. gathered \]",41,NO,NO,NO,Wide gathered mathematical display containing long fixed identifiers.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-08,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,108,109,2.84337,"LAT\ SHOCK Circulatory shock or hemodynamic instability. MAP, noninvasive MAP, systolic pressure, lactate, heart rate, urine helper, pH, bicarbonate. At least 2 abnormal clauses among MAP \(<70\), SBP \( 90\), lactate \(>2.0\), HR \( 110\), urine \(<500\), pH \(<7.30\), or bicarbonate \(<18\); also positive for low MAP with lactate \( 4.0\). Shock/lactate concepts grounded by Sepsis-3 ; no vasopressor requirement in PhysioNet rule. LAT\ RESPIRATORY\ FAILURE Hypoxemia, ventilatory failure, or ventilatory support. Mechanical ventilation flag; PF ratio; SaO2; PaO2; respiratory rate; PaCO2; pH. At least 2 abnormal clauses or mechanical ventilation with PF \(<300\). Clauses include SaO2 \(<92\), PaO2 \(<60\), respiratory rate \( 22\) or \(<8\), PaCO2 \( 50\), or PaCO2 \( 45\) with pH \(<7.30\). Respiratory phenotyping and ARDS/oxygenation grounding ; not adjudicated ARDS.",41,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-09,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,109,110,24.31537,"LAT\ RESPIRATORY\ FAILURE Hypoxemia, ventilatory failure, or ventilatory support. Mechanical ventilation flag; PF ratio; SaO2; PaO2; respiratory rate; PaCO2; pH. At least 2 abnormal clauses or mechanical ventilation with PF \(<300\). Clauses include SaO2 \(<92\), PaO2 \(<60\), respiratory rate \( 22\) or \(<8\), PaCO2 \( 50\), or PaCO2 \( 45\) with pH \(<7.30\). Respiratory phenotyping and ARDS/oxygenation grounding ; not adjudicated ARDS. LAT\ RENAL\ DYSFUNCTION Renal dysfunction. Creatinine first and maximum; BUN maximum; urine helper; potassium maximum; bicarbonate minimum. At least 2 abnormal clauses among creatinine \( 2.0\), creatinine rise \( 0.3\), BUN \( 40\), urine \(<500\), potassium \( 5.5\), or bicarbonate \(<18\); creatinine \( 3.5\) is sufficient. Renal concepts grounded by KDIGO ; not full KDIGO staging.",41,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-10,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,111,112,12.41136,"LAT\ HEPATIC\ DYSFUNCTION Hepatic injury or reserve. Bilirubin, AST, ALT, ALP, albumin, platelets. Weighted score at least 2: bilirubin \( 2.0\) counts twice; AST or ALT \( 200\), ALP \( 250\), albumin \(<2.5\), or platelets \(<100\) add one. Bilirubin/organ-dysfunction grounding from SOFA ; transaminase and albumin clauses are project-specific. LAT\ COAG\ HEME\ DYSFUNCTION Hematologic/coagulation stress. Platelets, hematocrit, WBC, platelet first-to-minimum change. Score at least 2. Platelets \(<100\) counts twice; platelets \(<150\), HCT \(<25\) or \(>55\), WBC \(<4\) or \(>20\), or platelet drop \( 50\) add one. Coagulation grounding from ISTH DIC and SOFA ; not complete DIC score.",41,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-11,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,112,112,25.02675,"LAT\ COAG\ HEME\ DYSFUNCTION Hematologic/coagulation stress. Platelets, hematocrit, WBC, platelet first-to-minimum change. Score at least 2. Platelets \(<100\) counts twice; platelets \(<150\), HCT \(<25\) or \(>55\), WBC \(<4\) or \(>20\), or platelet drop \( 50\) add one. Coagulation grounding from ISTH DIC and SOFA ; not complete DIC score.",41,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 41); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-12,thesis-writing/thesis/chapters/05_proxy_state_construction.tex,180,181,83.23866,"Exact clinical-source support remains incomplete for the MIMIC chronic-burden, metabolic/electrolyte/acid-base, and cardiac-strain rule clauses. These rows are therefore retained only as project-specific proxy definitions pending qualified clinical review.",46,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 46); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-13,thesis-writing/thesis/chapters/07_causal_methodology.tex,40,40,5.13518,Outcome Mortality endpoint. OUT\ InHospitalMortality. OUT\ MORTALITY.,54,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 54); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-14,thesis-writing/thesis/chapters/07_causal_methodology.tex,130,131,9.51868,"For model-based heterogeneous effects, the pipeline includes EconML double-machine-learning estimators and an exploratory CausalPFN branch. The prespecified hierarchy treats CausalForestDML as primary, LinearDML as the secondary comparator, and CausalPFN as exploratory. Double machine learning estimates nuisance outcome and treatment models and then estimates treatment effects after residualization, reducing sensitivity to nuisance-model overfitting under appropriate assumptions . The LinearDML branch uses random-forest nuisance models with a linear final effect model. The CausalForestDML branch uses the same random-forest nuisance-model family and a causal forest final stage, drawing on generalized random-forest and causal-forest ideas for heterogeneous treatment effects . This modeling choice is consistent with the broader use of machine learning for individualized treatment-effect estimation in electronic health record and critical-care settings, while still requiring domain-specific validation .",64,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 64); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-15,thesis-writing/thesis/chapters/07_causal_methodology.tex,149,149,6.25010,"CausalForestDML EconML CausalForestDML with random-forest nuisance models and a causal-forest final stage. Patient-level CATE, optional intervals, feature importance, model artifact, global summaries. Flexible heterogeneity estimate; feature importance is a model diagnostic, not mechanism proof.",64,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 64); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-16,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,31,32,15.80530,Final Hamming distance and sufficient-pair flags matching causal effect.py; matching summaries Similarity under the binary matching representation and support warnings Similarity in the original covariate space or a target-population guarantee implemented; archived Matching failure reason Per-treatment summaries; cross-run matching-failure table Why a matching contrast was not produced A zero effect or absence of an exposure effect archived,67,NO,NO,NO,Unbreakable citation/link or identifier box in otherwise fitting text.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 67); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-17,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,44,45,88.74751,"During non-PFN fitting, \texttt{cate\_estimation.py} records whether \texttt{robustness\_value}, \texttt{sensitivity\_interval}, \texttt{sensitivity\_summary}, \texttt{summary}, and residual access are available.",68,YES,NO,NO,Consecutive unbreakable inline typewriter identifiers forced the first line past the right margin.,MATERIAL_DEFECT,YES,YES,"Inserted local \allowbreak points after identifier underscores. Final build has a single 36.04349-pt diagnostic at this line, but 300-DPI inspection confirms no visible margin intrusion or clipping.",The baseline 300-DPI render showed visible right-margin extension. The exact identifier text and prose were preserved; only legal breakpoints were added. Adjacent physical pages 67 and 69 were rechecked at 300 DPI.
OVERFULL-18,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,44,45,14.20638,"The same API-availability paragraph continues with the sensitivity-parameter snapshot, residual availability, estimator metadata, artifact schema version, and package/environment fields.",68,YES,NO,NO,The same long identifier paragraph constrained the later line break.,MINOR_DEFECT,YES,YES,"The local identifier breakpoints removed this separate warning; the remaining line-level 36.04349-pt diagnostic is visually benign at 300 DPI.",The pre-repair line extended slightly past the right margin. It was eliminated by the same local \\allowbreak repair; no prose or numerical token or citation or label or table or figure or caption changed.
OVERFULL-19,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,62,63,8.95082,Diagnostic type Source stage Applicable estimators Required saved object Output form Interpretation boundary,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-20,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,66,67,8.95082,Diagnostic type Source stage Applicable estimators Required saved object Output form Interpretation boundary,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
OVERFULL-21,thesis-writing/thesis/chapters/08_robustness_sensitivity_validation.tex,75,75,2.64183,CausalPFN diagnostic status Orchestration CausalPFN N/A for EconML workflow Skipped/not applicable status Absence is not a zero diagnostic,68,NO,NO,NO,Fixed-width table cell with an unbreakable identifier or dense cell content.,VISUALLY_BENIGN,NO,NO,No repair required after 300-DPI review.,Mapped by log output-page sequence (physical page 68); PDF-text context independently checked. Reviewed at 300 DPI; text remains within the rendered crop despite TeX box measurement.
