gap_id,category,artifact_or_run,description,current_evidence,searches_performed,recovered,recovery_result,impact,resolution_owner,external_input_required,likely_irrecoverable,thesis_wording,next_action
GAP-001,causal configuration,12 causal run families,Numbered final producing configuration CSVs and hashes.,Absolute numbered paths in every run summary; compact current configs have different basenames/content.,"Tracked files, all causal reachable history, fsck/dangling object scan, archive path search.",NO,NOT_FOUND_AFTER_EXHAUSTIVE_LOCAL_SEARCH,Setting-exact rerun unavailable.,Project archive custodian,YES,YES,Numbered producing config path recorded; local file missing.,Recover the exact numbered files from authorized archive/backup and hash them.
GAP-002,causal command,12 causal run families,Producing stage commands.,"Each run_summary.json contains exact argv arrays, CWD, return code, timestamps, status, and outputs.",Parsed all 12 run summaries.,YES,RECOVERED,"Execution command evidence is available, though inputs/config/version remain incomplete.",NOT_APPLICABLE,NO,NO,Run summaries record stage commands and status fields.,Retain run summaries and link recovered configs if obtained.
GAP-003,causal source version,12 causal run families,Producing causal repository revision/uncommitted state.,No source revision field in archived run summary or manifest.,Archive metadata/log search; parent and causal history; fsck.,NO,NOT_FOUND_AFTER_EXHAUSTIVE_LOCAL_SEARCH,Historical source state cannot be tied to outputs.,Project archive custodian,YES,YES,Producing source versions remain unresolved.,Recover signed run manifest or producer revision record.
GAP-004,predictive split,10 predictive families,Split ID manifest and split-generation lineage.,"Logs record predict_split=all, seed=2023, and split counts; no IDs or split pickle hash.",All predictive logs/summaries/exports; STraTS history; fsck.,PARTIAL,PARTIALLY_RECOVERED,"Export argument is known, out-of-sample membership not auditable.",Project archive custodian,YES,YES,Export split argument is recorded; split manifest remains absent.,Recover split IDs/pickle hash and generation record.
GAP-005,predictive seed,10 predictive families,Configured predictive seed.,Every archived predictive log records seed=2023.,Parsed all predictive logs.,YES,RECOVERED,Seed is recorded but does not replace split IDs.,NOT_APPLICABLE,NO,NO,"Seed is log-recorded, not a complete split lineage.",Retain log hashes with any future split manifest.
GAP-006,predictive checkpoint,10 predictive families,Archived supervised checkpoint files and hashes.,checkpoint_best.bin exists and is hashable for every family.,Archived directory inventory and SHA-256.,YES,RECOVERED,Checkpoint artifacts are available.,NOT_APPLICABLE,NO,NO,Archived checkpoint presence is distinct from export linkage.,Retain hashes; recover explicit exporter linkage.
GAP-007,checkpoint/export map,10 predictive families,Proof of which checkpoint produced each export.,Export logs and co-located checkpoints are candidates; no immutable mapping record.,"Logs, summaries, exports, current wrapper, history, fsck.",PARTIAL,PARTIALLY_RECOVERED,Numerical/export provenance remains incomplete.,Project archive custodian,YES,YES,Checkpoint-to-export mapping remains unverified.,Recover exporter manifest or signed command/output record.
GAP-008,predictive command,10 predictive families,Full producing shell commands.,Namespace argument records in logs; executable/shell command is not preserved.,All predictive logs/summaries and STraTS history.,PARTIAL,PARTIALLY_RECOVERED,Arguments can be audited; exact shell invocation cannot be claimed.,Project archive custodian,YES,YES,Archived log arguments are not a full shell-command record.,Recover raw command log or scheduler record.
GAP-009,predictive source version,10 predictive families,Producing STraTS revision/uncommitted state.,No revision field in summaries/logs/exports.,Archive metadata/log search; STraTS history; fsck.,NO,NOT_FOUND_AFTER_EXHAUSTIVE_LOCAL_SEARCH,Historical source state cannot be tied to outputs.,Project archive custodian,YES,YES,Producing source version remains unresolved.,Recover signed run manifest or producer revision record.
GAP-010,raw data,both datasets,"Raw data version, hashes, access record, and extraction queries.",Only code contracts and external paths are available; raw data not opened.,Non-sensitive repository/history/archive searches only.,NO,EXTERNAL_RECORD_REQUIRED,Cohort reconstruction not established.,Data custodian / authorized investigator,YES,NO,Raw/processed lineage remains incomplete.,Obtain authorized non-sensitive manifest and approved extraction record.
GAP-011,processed pickle,both datasets,Processed-pickle hashes and producer lineage.,Historical absolute paths are recorded; pickles are not local.,Archive/path/history/fsck searches; raw data excluded.,NO,EXTERNAL_RECORD_REQUIRED,Input identity cannot be verified.,Data custodian / authorized investigator,YES,NO,Processed artifacts remain unresolved.,Obtain non-sensitive path/hash/producer manifest.
GAP-012,cohort extraction,both datasets,Cohort/exclusion query lineage.,Current source contracts only; no historical query/output manifest.,Source/history/archive documentation search.,NO,EXTERNAL_RECORD_REQUIRED,Cohort construction not exactly reproducible.,Data custodian / authorized investigator,YES,NO,Cohort extraction lineage remains incomplete.,Recover approved query/version/row-count documentation.
GAP-013,archive copy,archive-wide,"Copy direction, actor, and timestamps.",Hash-identical DAG groups prove bytes only.,"Hash grouping, manifests, filesystem metadata review; history/fsck.",NO,EXTERNAL_RECORD_REQUIRED,Canonical historical origin cannot be asserted.,Project archive custodian,YES,YES,Copy direction remains unknown.,Recover transfer/archival log; otherwise retain unknown direction.
GAP-014,producing environment,predictive and causal,Package versions and portable producing environment.,Causal interpreter path; predictive CUDA device string; requirements intended only.,Run summary/log/requirements/archive searches.,PARTIAL,PARTIALLY_RECOVERED,Historical rerun environment unavailable.,Project archive custodian,YES,YES,Current reproduction and intended requirements are not producer proof.,Recover conda/pip/container manifest.
GAP-015,producing hardware,predictive and causal,"CPU, RAM, GPU model, OS, CUDA version.",Predictive logs indicate CUDA device; no hardware inventory.,Run summary/log/archive searches.,PARTIAL,PARTIALLY_RECOVERED,No hardware claim supported.,Project archive custodian,YES,YES,Producing hardware remains incomplete.,Recover scheduler/node or environment capture.
GAP-016,CausalPFN source/version,CausalPFN runs,Package/source and version alignment.,No local producer-version record or primary method-source alignment.,Causal archive/source/history/fsck searches.,NO,EXTERNAL_RECORD_REQUIRED,Exploratory status remains required.,Method owner / project archive custodian,YES,NO,CausalPFN source/version remains unresolved.,Provide primary source and exact package/version manifest.
GAP-017,LLM provenance,proxy/DAG design,"Exact prompt execution and proposal-to-code lineage: product/model/version, system instructions, reasoning/research mode, decoding settings, full turns, run identifiers, export procedure, and accepted/rejected output mapping.","Final prompt text and 2026-05-01 browser-export PDFs are hashable; ChatGPT 5.4 with extended reasoning is user-reported; active tagger/graph source broadly aligns with output schemas, but exact settings and acceptance mapping are absent.","Non-sensitive prompt/document/PDF-metadata/source/log/history search and high-level prompt-output-to-code comparison.",PARTIAL,PARTIALLY_RECOVERED,"The substantive LLM-assisted design method is evidenced, but it cannot be reproduced exactly or tied decision-by-decision to encoded rules and graph edges.",Project owner,YES,NO,"State the LLM-assisted design-time role; mark model metadata as user-reported and proposal-to-code traceability as partial.","Archive a prompt/model/settings/full-output manifest and a reviewed decision table mapping each accepted, modified, or rejected proposal to source lines."
GAP-018,human review,proxy/DAG design,"Human selection, modification, and clinical/causal review decisions for LLM proposals.","Management summaries and internal documents exist, but no verified reviewer identity, qualifications, item-level rationale, acceptance status, or decision date was recovered.","Repository prompt/document/log/history search; source comparison without inferring undocumented approval.",NO,EXTERNAL_RECORD_REQUIRED,"Human-in-the-loop selection may be described only at project level; clinical approval and unchanged adoption cannot be claimed.",Clinical reviewer / supervisor,YES,NO,"Accepted designs were project-selected and source-encoded; exact human/clinical review remains unresolved.","Obtain a signed or advisor-approved review record identifying reviewers, criteria, decisions, modifications, and dates."
GAP-019,clinical validation,rule-derived proxy labels and project-encoded DAGs,"Independent chart review or external validation of proxy-state construct validity, threshold rules, and clinically relevant graph structure.","Tagger diagnostics, prevalence/association tables, prompt artifacts, and source code exist; none is chart-adjudicated validation or independent clinical confirmation of the DAG.","Prompt/source/result inventory and terminology/claim audit; no patient data or restricted chart records accessed.",NO,EXTERNAL_RECORD_REQUIRED,"Proxy labels must remain clinically inspired weak labels and DAG validity must remain assumption-bound.",Clinical reviewer / authorized data investigator,YES,NO,"No chart-adjudicated clinical validation was established for the proxy labels or project-encoded DAGs.","Design an authorized blinded chart-review/external-validation protocol with agreement, calibration, and graph-review criteria."
GAP-020,LLM robustness,proxy/DAG design,"Prompt/model sensitivity and independent replication of ontology, rule, and DAG proposals.","Older and final prompt exports show prompt-version history, but no controlled multi-model, multi-seed, paraphrase, ablation, or independent-expert comparison was recovered.","Prompt-version inventory and PDF/source comparison; no new LLM runs performed.",PARTIAL,PARTIALLY_RECOVERED,"Stability of the elicited design to model and prompt choices is unknown.",Project owner / supervisor,YES,NO,"The archived sessions document one design process, not robustness across LLMs, prompt variants, or independent experts.","Pre-register and execute a non-clinical robustness study comparing prompt variants, model versions, structured outputs, expert ratings, and proposal-to-code stability."
